Sr.No, MT104, MT119, CS118, CL118, EE182, SL101, SS101, EE227, SS122, MT224, SS111, CS217, EL227, CL217, CS201(DATA STRUCTURES), , CGPA, , WARNING
121,,A,C,B,B+,B+,B,C+,,C,A,D,B,C+,D,,2.62,,0
123,B,C-,C-,B,D+,B+,B-,,F,B+,B+,B-,C+,D,FA,,2.12,,0
124,,A,B-,B,B+,A,A,A-,,A-,B,B-,A,A-,B,,3.53,,0
127,C,B+,B,B,B+,A,C+,,C,B,C+,D,C-,B+,B-,,2.52,,0
128,,C-,C,B,B,B+,C+,C,,B-,C-,C+,C-,C-,C-,,2.17,,0
129,F,C+,F,D+,B+,B,D,,C-,B,D+,B+,D,C,C-,,1.99,,0
130,,A,B-,D,C,D,C+,A,,B-,B+,C+,A,A-,C+,,2.72,,0
136,A-,B+,A-,B-,C+,A-,B,,B,B-,B-,B-,B,B,B,,2.99,,0
138,A-,A,B-,A+,B+,D+,C-,,C,A,D+,C-,A-,A-,B-,,2.7,,0
139,,B+,B,C,B,D,B-,A-,,F,B+,C+,C,B,B-,,2.49,,0
140,B-,B-,B,B,F,F,B+,,D+,A,D,B-,C+,B,B-,,2.7,,0
141,,D,C+,A+,B+,A-,A+,A,,A-,D,A,A+,C+,B+,,3.18,,0
143,A-,D+,C-,B+,B-,C+,B+,,D+,B-,B,C-,C-,B+,C-,,2.27,,0
144,,D+,B,D,D+,D,F,B,FA,F,C,FA,B+,FA,C+,,1.34,,2
145,,F,F,F,C,D+,B-,C-,B-,D,C-,B+,B,D,D+,,1.86,,0
146,,F,C,F,C+,B-,B,C-,C-,B-,D,C-,C,F,D,,1.72,,3
150,B-,B,A,B,C+,A,B,,B,B+,A-,A,B-,B-,B+,,3.2,,0
155,D+,C,C+,C-,D+,B,C,,C+,D,C,D,B-,C-,B,,2,,0
156,,A-,B+,A,B-,B+,A,A+,,A-,B,C+,C-,B,C+,,3.13,,0
159,A,A,B+,B+,B+,A,B,,A,A,B,A-,D+,A,A,,3.4,,0
